subset,id_str,object_id,tile_index,RA,DEC,segmentation_area,flux_vis_1fwhm_aper,expert_score,grade,expert_total_votes
discovery_engine,102159776_2711105152671273943,2711105152671273943,102159776,271.1105152207921,67.12739437939801,1021.0,4.706940650939941,0.7841509157995084,C,10
discovery_engine,102160062_2743365378674443471,2743365378674443471,102160062,274.3365378959816,67.44434712332267,1127.0,2.488331794738769,0.5319197060311607,C,10
discovery_engine,102159491_2759377187664442986,2759377187664442986,102159491,275.9377187181359,66.44429869121905,311.0,1.502657175064087,1.5321007729842064,B,10
discovery_engine,102158586_2710273614647700542,2710273614647700542,102158586,271.0273614658411,64.77005427002409,639.0,2.164930820465088,0.6101882891410526,C,9
discovery_engine,102160338_2714909496682092102,2714909496682092102,102160338,271.4909496821769,68.20921029451127,1006.0,1.917190194129944,0.6075095202677034,C,10
discovery_engine,102158584_2682518899650423259,2682518899650423259,102158584,268.25188996305326,65.04232598114912,1244.0,7.952332019805908,0.5581050924301494,C,10
discovery_engine,102159488_2720116052662791759,2720116052662791759,102159488,272.0116052252407,66.27917595265059,722.0,1.5163578987121582,0.5321007729842064,C,10
discovery_engine,102159484_2663252705665091145,2663252705665091145,102159484,266.32527059048783,66.5091145750281,434.0,3.780728101730346,1.310900468626918,C,9
discovery_engine,102159488_2713387318663787465,2713387318663787465,102159488,271.3387318041255,66.37874659548034,817.0,2.0201187133789062,0.8442814828449515,C,10
discovery_engine,102157957_2709336902640891580,2709336902640891580,102157957,270.9336902192357,64.08915803164079,2549.0,5.059720516204834,1.1175425966089425,C,10
discovery_engine,102159491_2750401520665356534,2750401520665356534,102159491,275.0401520762689,66.53565347576068,676.0,1.7359108924865725,1.7553449130713623,B,9
discovery_engine,102158889_2668443415653707960,2668443415653707960,102158889,266.8443415141928,65.37079608035918,348.0,2.5941786766052246,1.8576461772541493,B,8
discovery_engine,102158886_2643546356654992684,2643546356654992684,102158886,264.3546356664112,65.4992684242719,1905.0,5.363055229187012,0.7584446641419796,C,10
discovery_engine,102160061_2731249221677450016,2731249221677450016,102160061,273.1249221570768,67.74500169489171,2596.0,3.7062501907348633,1.3606428005173428,C,9
discovery_engine,102158590_2751102237648287695,2751102237648287695,102158590,275.1102237524699,64.8287695823032,384.0,1.4244989156723022,1.6468176130644134,B,8
